station_num, WBAN , YEARMO,   TEMP,  ,   DEWPOINT,  ,  SEA_LEVEL_PRESSURE  ,  ,  STATION_PRESSURE  ,  , VISI,  ,  WINDSPEE,  , MAXSPEE,  MAXGUST,   MAXTEMP  ,  MINTEMP  ,PRCP  ,SNOWDEPTH , FRSHTT,
numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric,
720472,99999, 20180619,   61.2,24,   51.2,24, 9999.9, 0, 9999.9, 0,   9.4,24,   7.6,24,  17.1,  25.1,   68.0,  51.8,99.99 ,999.9, 010000,
720472,99999, 20180620,   59.4,24,   42.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.2,24,  12.0,  20.0,   73.4,  46.4, 0.00,999.9, 000000,
720472,99999, 20180621,   61.2,24,   43.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.5,24,  12.0,  20.0,   68.0,  53.6,99.99 ,999.9, 010000,
720472,99999, 20180622,   55.6,24,   38.1,24, 9999.9, 0, 9999.9, 0,   9.6,24,   3.1,24,   8.9, 999.9,   71.6,  39.2, 0.00,999.9, 100000,
720472,99999, 20180623,   57.6,24,   49.0,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.2,24,   8.0, 999.9,   64.4,  50.0,99.99 ,999.9, 010000,
720472,99999, 20180624,   56.8,24,   51.6,24, 9999.9, 0, 9999.9, 0,   8.4,24,   1.2,24,   5.1, 999.9,   64.4,  51.8,99.99 ,999.9, 010000,
720472,99999, 20180625,   55.2,24,   50.4,24, 9999.9, 0, 9999.9, 0,   9.1,24,   5.4,24,  14.0,  21.0,   60.8,  48.2,99.99 ,999.9, 010000,
720472,99999, 20180626,   54.2,24,   40.8,24, 9999.9, 0, 9999.9, 0,   9.2,24,   4.5,24,  14.0,  17.1,   69.8,  41.0, 0.00,999.9, 100000,
720472,99999, 20180627,   62.1,24,   46.1,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.2,24,  11.1,  15.9,   75.2,  51.8, 0.00,999.9, 000000,
720472,99999, 20180628,   61.4,24,   57.6,24, 9999.9, 0, 9999.9, 0,   8.7,24,   2.4,24,   7.0, 999.9,   64.4,  55.4,99.99 ,999.9, 010010,
720472,99999, 20180629,   66.5,24,   60.4,24, 9999.9, 0, 9999.9, 0,   8.6,24,   4.5,24,  12.0,  19.0,   77.0,  59.0,99.99 ,999.9, 010010,
720472,99999, 20180630,   69.3,24,   60.2,24, 9999.9, 0, 9999.9, 0,   9.9,24,   3.0,24,   8.9,  15.9,   80.6,  60.8, 0.00,999.9, 000000,
720472,99999, 20180701,   73.5,24,   65.6,24, 9999.9, 0, 9999.9, 0,   9.5,24,   2.6,24,   7.0, 999.9,   84.2,  64.4,99.99 ,999.9, 010010,
